CoVIC ID,Isotype,Epitope Community (RBD),ADCP,mADCP,ADNP,mADNP,ADCD,ADNKA_CD107a,ADNKA_MIP-1b,FcgR2aR,FcgR3aV,FcgR2b,FcgR3b,FcRn,mFcR2b,mFcR3,mFcR4,(0.5 mg/mL) % survival,(1.5 mg/mL) % survival,IC50_WA1 (ng/mL),IC80_WA1 (ng/mL),IC50_UTMB (ng/mL),IC80_UTMB (ng/mL),IC90_UTMB (ng/mL),neut_cluster
154,IgG1,,-1.5297926920067675,-0.2472978290382267,-0.6068903632482644,-1.363623887712065,-1.5288651969856697,0.40650064290071425,0.21978408405287866,-1.3044186410227319,-1.276563273753362,-1.3441004563896892,-0.8805074953578633,-1.6182526430404127,-0.579602387022844,-0.38262795715991726,-0.9133103733596796,0.0,,1.0600157815286348,1.0163943843161278,2.062045892724716,2.0354966244265085,1.9785771021975125,2
155,IgG1,2.0,0.5537721319035198,1.3816179159289554,0.37628582919408604,-1.1237722613620091,-0.3169886374454335,0.32865162322456437,1.1840623928909721,0.6478522285905556,0.6490210797072253,0.7739314851440963,0.7484663951533022,0.49130744823055367,-0.25139719270241534,0.5590204467713971,0.8515836192245932,10.0,80.0,-1.1728822097601048,-0.8264445633605148,-0.29488401652620366,-0.37884547700511007,-0.4224250926522154,3
156,IgG1,2.0,0.32962577411756866,1.2004833729598727,-0.1920195343728435,-1.545179233439877,-0.7542085323137613,0.32914978418191926,0.5180219355698145,0.4404330019659035,0.42991792574557014,0.4863662735594974,0.5830260345091041,0.21285245766203695,-0.3331502940028283,0.19991072532218992,0.6315490922751341,50.0,,-0.5321565924576336,-0.43713026946786016,0.06333558321391984,0.3078669087192075,0.4454248361125982,1
158,IgG1,2.0,0.1499829189077672,0.7023130199928564,-0.135683726982298,-1.1882094700894454,-0.8674750089456823,0.03034813574492869,0.047089215240841274,0.11669448043545032,0.24556082440341942,0.2095984439003284,0.3147889951424266,-0.7043277874707828,-0.5213954079157966,0.13580677170556113,0.3884360435642601,20.0,,-0.39039379144163366,-0.5261883475241015,0.3775996063089355,0.3553685046576536,0.3346570709120959,1
159,IgG1,2.0,0.10152781323662607,-0.7342683052823551,-0.25668848302394454,1.1035089019442685,-0.47984409706473047,0.1117679429307782,0.339791430029136,-0.2093094756871477,-0.22268491313532637,-0.7101275678798715,-0.4618690059301293,-1.6056952750468434,-0.5805411058891445,-0.5642923571585191,-0.37412789269418223,,30.0,0.06387463110456229,0.08249434029246876,-0.32095328535444695,-0.21728027164749708,-0.15230355532672019,1
160,IgG1,2.0,0.6021642025731364,-0.3007410098398378,-0.11421875661342878,1.241541118778693,-0.29223133733370676,0.22596829526939652,0.23368952718984487,0.6852034989840651,0.7240818673558952,0.8105217131378469,0.8641845371879747,0.915354347528438,0.7096168670181295,1.3372766318688787,0.9812327762497627,,20.0,-0.39039379144163366,-0.47886894242846256,-1.8177381333138247,-1.9457084605485357,-1.9818006885176425,3
161,IgG1,,1.0549494074880832,1.086044472368886,0.7272044098618943,0.9770273339740863,0.2733633833297071,0.04873463640024699,0.14988867596779507,1.0355831241038436,1.0138371268132942,1.2083414909000103,1.1523275643340738,1.1712108192301884,1.729390990397833,0.9573001793975876,1.1942783028585493,60.0,,0.2360592275245236,0.17755881907965115,0.22567134869330566,0.3386352820271826,0.3977283303673981,1
163,IgG1,2.0,0.9056740978382952,0.8084947056423313,0.32457768510978297,1.101718173018984,-0.18986449046377465,0.2436039768616392,0.13393521481382437,0.5298949501455872,0.6463298918721591,0.7326737288873915,0.7460778516275917,0.8426329205362358,0.2376591804270826,0.8032640625610823,0.8539164671020215,,10.0,0.690327650875773,0.9074312944753838,1.4587367402833997,2.136366900947462,2.491840726515963,2
164,IgG1,2.0,0.8992968286377105,0.8075974645447127,0.1835709236937851,0.23703635920090513,-0.2537975303081605,0.0542592741232986,-0.014809571569437926,0.5922518293285151,0.5086777231271682,0.609507687294154,0.6576263361303045,0.5370523597438779,-0.0615416188162164,0.5017041445802202,0.7227740741286447,,30.0,0.03055132476615428,0.012391001059996753,0.378897728089834,0.36244333023147074,0.3448864429425983,1
167,IgG1,2.0,0.8473320887809082,-0.6096076523091655,-0.43979612663760553,-0.5438834046711327,-0.6693486018222135,0.1958385644200273,0.2683735164055604,0.2190690633066663,0.19523818138837792,-0.04493892909274633,0.05672432240359525,-1.2876475717748168,-0.5668063968780597,-0.15139584085490368,-0.0635782525943074,,20.0,0.09429642650852378,0.023295527710235454,0.6318273165189647,0.4164033536137615,0.281651542038824,1
